No,Name,Team,Position,Age,Bats,Salary
260,Tom Murphy,SEA,C,31,R,1575000
261,Willy Fana,NYM,OF,0,,1500000
262,Ehire Adrianza,ATL,SS,32,,1500000
263,Adan Sanchez,CHC,C,0,,1500000
264,Matt Duffy,LAA,3B,31,R,1500000
265,Francisco Mejia,TB,C,26,,1455000
266,Wander Franco,TB,SS,21,,1454545
267,Victor Reyes,DET,RF,27,,1400000
268,Brett Phillips,BAL,CF,28,L,1400000
269,Ivan Melendez,ARI,1B,22,,1400000
270,Jordan Luplow,ARI,OF,28,R,1400000
271,Johan Barrios,MIL,SS,0,,1385000
272,Dylan Moore,SEA,2B,29,R,1350000
273,Hanser Alberto,LAD,2B,29,R,1350000
274,Carter Young,BAL,SS,21,,1325000
275,Michael Arroyo,SEA,SS,0,,1300000
276,Martin Gonzalez,SEA,SS,0,,1300000
277,Luis Baez,HOU,OF,0,,1300000
278,Yendry Rojas,SD,SS,0,,1300000
279,Ryan O'Hearn,KC,1B,28,L,1300000
280,Miguel Andujar,PIT,3B,27,R,1300000
281,Douglas Glod,ATL,OF,17,,1300000
282,Bradley Zimmer,TOR,CF,29,L,1300000
283,Alexis Hernandez,CHC,SS,0,,1300000
284,Tyler Locklear,SEA,1B,21,,1276500
285,Harold Castro,DET,3B,28,L,1275000
286,Ryan Clifford,HOU,LF,18,,1256530
287,Nick Senzel,CIN,CF,27,R,1250000
288,Jhonny Severino,MIL,SS,0,,1230000
289,Samuel Gil,DET,SS,0,,1200000
290,Jose DeJesus,TEX,OF,0,,1200000
291,Luis Torrens,SEA,C,26,R,1200000
292,Carlos Pacheco,OAK,OF,0,,1200000
293,Freili Encarnacion,BOS,SS,0,,1200000
294,Christian Arroyo,BOS,2B,27,R,1200000
295,Jaison Chourio,CLE,OF,0,,1200000
296,Victor Izturis,CLE,C,0,,1200000
297,Josh Naylor,CLE,1B,25,L,1200000
298,Yordany De Los Santos,PIT,SS,0,,1200000
299,Jon Berti,MIA,3B,32,R,1200000
300,Randy de Jesus,LAA,OF,0,,1200000
301,Marwin Gonzalez,NYY,3B,33,,1150000
302,Fraymi De Leon,BOS,SS,0,,1100000
303,Luis Lara,MIL,OF,0,,1100000
304,Juan Perez,SF,C,0,,1100000
305,Abdias de la Cruz,ARI,SS,17,,1100000
306,Brock Jones,TB,RF,21,,1077600
307,Logan Tanner,CIN,C,21,,1030500
308,Jud Fabian,BAL,CF,21,,1026800
309,Tanner Schobel,MIN,SS,21,,1002000
310,Brenner Cox,WSH,OF,18,,1000000
311,Sandy Leon,MIN,C,33,,1000000
312,Jacob Melton,HOU,CF,21,,1000000
313,Nick Morabito,NYM,2B,19,,1000000
314,Guillermo Heredia,ATL,CF,31,R,1000000
315,Erick Hernandez,CHW,OF,0,,1000000
316,Josh Kasevich,TOR,3B,21,,1000000
317,Jefferson Rojas,CHC,SS,0,,1000000
318,Stephen Vogt,OAK,C,37,L,950000
319,Kyle Higashioka,NYY,C,32,R,935000
320,Clark Elliott,OAK,RF,21,,900000
321,Luke Maile,CLE,C,31,R,900000
322,Robinson Chirinos,BAL,C,38,R,900000
323,Maykol Muñoz,SD,3B,0,,900000
324,Brandon Drury,SD,3B,29,R,900000
325,Tony Blanco Jr.,PIT,OF,0,,900000
326,Yerald Nin,ARI,SS,16,,900000
327,Christopher Paciolla,CHC,SS,18,,900000
328,Tomas Nido,NYM,C,28,R,890000
329,Luis Guillorme,NYM,2B,27,L,875000
330,Justin Boyd,CIN,OF,21,,850000
331,Cade Doughty,TOR,2B,21,,833600
332,Franchy Cordero,BOS,1B,27,L,825000
333,Bo Bichette,TOR,SS,24,R,825000
334,Josue Briceño,DET,C,0,,800000
335,Heison Sanchez,DET,SS,0,,800000
336,Cesar Gonzalez,OAK,C,0,,800000
337,Billy McKinney,OAK,DH,27,L,800000
338,Rob Refsnyder,BOS,RF,31,R,800000
339,Robert Moore,MIL,2B,20,,800000
340,Joe Lampe,CLE,CF,21,,800000
341,Rafael Ramirez,CLE,SS,0,,800000
342,Juan Olmos,KC,C,0,,800000
343,Henry Ramos,KC,OF,0,,800000
