No,Name,Team,Position,Age,Throws,Salary
887,Jack Choate,SF,P,21,,87500
888,Nate Dahle,TB,P,24,,87500
889,Zachary Veen,MIN,P,21,,80000
890,Jaycob Deese,PIT,P,22,,80000
891,Garrett Brown,CHC,P,22,,80000
892,Graham Firoved,BAL,P,22,,80000
893,Helcris Olivarez,COL,P,21,L,77000
894,William Silva,ATL,P,20,,75000
895,Quinn Gudaitis,DET,P,23,,75000
896,Easton Sikorski,CIN,P,22,,75000
897,Josh Bortka,PHI,P,22,,75000
898,Nathan Karaffa,PHI,P,21,,75000
899,Blaze Pontes,OAK,P,22,,75000
900,Mason Adams,CHW,P,22,,75000
901,Tristan Stivors,CHW,P,23,,75000
902,Jack Gowen,MIA,P,22,,75000
903,T.J. Brock,TOR,P,22,,72500
904,Alex Rao,PHI,P,22,,72500
905,Connor Butler,BOS,P,22,,72500
906,Ryan Jennings,TOR,P,23,,70000
907,Jhonly Taveras,ATL,,17,,65000
908,Will Brian,NYY,P,23,,57500
909,Ryan Chasse,TOR,P,22,,50000
910,Trevin Michael,DET,P,24,,50000
911,Cesar Jimenez,ARI,P,16,,50000
912,Cesar Jimenez,ARI,P,16,,50000
913,Drew Garrett,PHI,P,22,,50000
914,Stefan Raeth,SEA,P,21,,50000
915,Shawn Rapp,CLE,P,21,,50000
916,Roel Garcia III,TB,P,23,,50000
917,Rob Hensey,CIN,P,21,,47500
918,John Bertrand,SF,P,24,,47500
919,Brandon Johnson,KC,P,23,,47500
920,Sean Harney,TB,P,23,,47500
921,Dale Stanavich,MIA,P,23,,47500
922,Cameron Foster,NYM,P,23,,40000
923,Feleipe Franks,BOS,P,24,,40000
924,Kyle Crigger,MIA,P,23,,37500
925,Jhonny Martinez,ATL,,17,,35000
926,Yorvi Pirela,ATL,,17,,35000
927,Cole Patten,DET,P,22,,35000
928,Alex Hoppe,BOS,P,23,,32250
929,Moises Lira,ARI,SP,17,,30000
930,Roman Phansalkar,LAA,P,24,,27500
931,Brandon Neeck,LAD,P,22,,27500
932,Jackson Smeltz,SD,P,23,,25000
933,Matt Hickey,STL,P,24,,25000
934,Tanner Jacobson,STL,P,22,,25000
935,Joshua Loeschorn,PIT,P,22,,25000
936,Nick Hull,CHC,P,22,,25000
937,Duncan Davitt,TB,P,22,,25000
938,Dylan Nedved,SD,P,23,,20000
939,Zebulon Vermillion,NYM,P,23,,20000
940,Daniel Harper,PHI,P,23,,20000
941,Reid VanScoter,SEA,P,23,,20000
942,Cade Gibson,MIA,P,24,,12500
943,Genderson Almonte,ATL,,18,,10000
944,Luis Cohen,BOS,P,0,,10000
945,Inmer Lobo,BOS,P,0,,10000
946,Denis Reguillo,BOS,P,0,,10000
947,Denison Sanchez,BOS,P,0,,10000
948,Darlin de la Cruz,BOS,P,0,,8000
949,Ian Churchill,TOR,P,23,,7500
950,Caleb Bolden,BOS,P,23,,7500
951,Jonathan Brand,BOS,P,22,,7500
952,Isaac Coffey,BOS,P,22,,7500
953,Matt Brosky,TEX,P,22,,5000
954,Jason Franks,ATL,P,23,,2500
955,Luke Chevalier,COL,P,25,,2500
956,Chris Kachmar,CHC,P,25,,1000
